timestamp,content,window_title,process,pid
2025-10-04 18:48:05,"class ProcessAnalyzer:\r\n    def __init__(self, csv_path: str):\r\n        """"""Inicjalizacja: wczytanie danych z CSV.""""""\r\n        self.data = pd.read_csv(csv_path)\r\n        self.data['timestamp'] = pd.to_datetime(self.data['timestamp'])\r\n        self.data.sort_values(by='timestamp', inplace=True)\r\n    \r\n    def calculate_time_spent(self):\r\n        """"""Liczy czas spędzony w każdym procesie na podstawie różnicy czasów.""""""\r\n        df = self.data.copy()\r\n        df['next_timestamp'] = df['timestamp'].shift(-1)\r\n        df['duration'] = (df['next_timestamp'] - df['timestamp']).fillna(pd.Timedelta(seconds=0))\r\n        \r\n        # Grupowanie po procesach\r\n        time_spent = df.groupby('process')['duration'].sum().reset_index()\r\n        time_spent['minutes'] = time_spent['duration'].dt.total_seconds() / 60\r\n        \r\n        self.time_spent = time_spent\r\n        return time_spent\r\n    \r\n    def plot_time_spent(self, output_html: str = None):\r\n        """"""Tworzy interaktywny wykres Plotly i opcjonalnie zapisuje jako HTML.""""""\r\n        if not hasattr(self, 'time_spent'):\r\n            self.calculate_time_spent()\r\n        \r\n        fig = px.bar(\r\n            self.time_spent,\r\n            x='process',\r\n            y='minutes',\r\n            color='process',\r\n            title='Czas spędzony w poszczególnych procesach (minuty)',\r\n            text_auto='.2f',\r\n        )\r\n        fig.update_layout(\r\n            xaxis_title='Proces',\r\n            yaxis_title='Czas [minuty]',\r\n            showlegend=False,\r\n            template='plotly_dark',\r\n            hovermode='x unified'\r\n        )\r\n        \r\n        if output_html:\r\n            fig.write_html(output_html)\r\n            print(f""Wykres zapisano do pliku: {output_html}"")\r\n        return fig\r\n    \r\n    def plot_process_network(self, output_html: str = None):\r\n        """"""Tworzy interaktywny wykres sieci przejść między procesami.""""""\r\n        df = self.data.copy()\r\n        df['next_process'] = df['process'].shift(-1)\r\n        \r\n        # usuwamy powtarzające się procesy z rzędu (brak ""przejścia"")\r\n        df = df[df['process'] != df['next_process']]\r\n        \r\n        # liczba przejść między procesami\r\n        transitions = df.groupby(['process', 'next_process']).size().reset_index(name='count')\r\n        \r\n        # budowa grafu NetworkX\r\n        G = nx.DiGraph()\r\n        for _, row in transitions.iterrows():\r\n            G.add_edge(row['process'], row['next_process'], weight=row['count'])\r\n        \r\n        pos = nx.spring_layout(G, seed=42)  # rozmieszczenie węzłów\r\n        \r\n        # przygotowanie danych do Plotly\r\n        edge_x, edge_y = [], []\r\n        for edge in G.edges():\r\n            x0, y0 = pos[edge[0]]\r\n            x1, y1 = pos[edge[1]]\r\n            edge_x.extend([x0, x1, None])\r\n            edge_y.extend([y0, y1, None])\r\n        \r\n        edge_trace = go.Scatter(\r\n            x=edge_x, y=edge_y,\r\n            line=dict(width=1, color='#888'),\r\n            hoverinfo='none',\r\n            mode='lines'\r\n        )\r\n        \r\n        node_x, node_y, node_text, node_size = [], [], [], []\r\n        for node in G.nodes():\r\n            x, y = pos[node]\r\n            node_x.append(x)\r\n            node_y.append(y)\r\n            node_text.append(node)\r\n            degree = G.degree(node)\r\n            node_size.append(10 + degree * 5)\r\n        \r\n        node_trace = go.Scatter(\r\n            x=node_x, y=node_y,\r\n            mode='markers+text',\r\n            text=node_text,\r\n            textposition='top center',\r\n            hoverinfo='text',\r\n            marker=dict(\r\n                showscale=True,\r\n                colorscale='YlGnBu',\r\n                color=[G.degree(n) for n in G.nodes()],\r\n                size=node_size,\r\n                colorbar=dict(\r\n                    title='Stopień węzła',\r\n                    thickness=15,\r\n                    xanchor='left'  \r\n                ),\r\n                line_width=2\r\n            )\r\n        )\r\n        \r\n        fig = go.Figure(data=[edge_trace, node_trace],\r\n                        layout=go.Layout(\r\n                            title='Sieć przejść między procesami',\r\n                            title_x=0.5,\r\n                            showlegend=False,\r\n                            hovermode='closest',\r\n                            margin=dict(b=0, l=0, r=0, t=40),\r\n                            template='plotly_dark'\r\n                        ))\r\n        \r\n        if output_html:\r\n            fig.write_html(output_html)\r\n            print(f""Wykres sieci zapisano do pliku: {output_html}"")\r\n        return fig",proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 18:49:51,column,● proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 18:54:04,"    def plot_process_network(self, output_html: str = None, column: str = 'process'):\r\n        """"""Tworzy interaktywny wykres sieci przejść między procesami.""""""\r\n        df = self.data.copy()\r\n        df['next_process'] = df[column].shift(-1)\r\n        \r\n        # usuwamy powtarzające się procesy z rzędu (brak ""przejścia"")\r\n        df = df[df[column] != df['next_process']]\r\n        \r\n        # liczba przejść między procesami\r\n        transitions = df.groupby([column, 'next_process']).size().reset_index(name='count')\r\n        \r\n        # budowa grafu NetworkX\r\n        G = nx.DiGraph()\r\n        for _, row in transitions.iterrows():\r\n            G.add_edge(row[column], row['next_process'], weight=row['count'])\r\n        \r\n        pos = nx.spring_layout(G, seed=42)  # rozmieszczenie węzłów\r\n        \r\n        # przygotowanie danych do Plotly\r\n        edge_x, edge_y = [], []\r\n        for edge in G.edges():\r\n            x0, y0 = pos[edge[0]]\r\n            x1, y1 = pos[edge[1]]\r\n            edge_x.extend([x0, x1, None])\r\n            edge_y.extend([y0, y1, None])\r\n        \r\n        edge_trace = go.Scatter(\r\n            x=edge_x, y=edge_y,\r\n            line=dict(width=1, color='#888'),\r\n            hoverinfo='none',\r\n            mode='lines'\r\n        )\r\n        \r\n        node_x, node_y, node_text, node_size = [], [], [], []\r\n        for node in G.nodes():\r\n            x, y = pos[node]\r\n            node_x.append(x)\r\n            node_y.append(y)\r\n            node_text.append(node)\r\n            degree = G.degree(node)\r\n            node_size.append(10 + degree * 5)\r\n        \r\n        node_trace = go.Scatter(\r\n            x=node_x, y=node_y,\r\n            mode='markers+text',\r\n            text=node_text,\r\n            textposition='top center',\r\n            hoverinfo='text',\r\n            marker=dict(\r\n                showscale=True,\r\n                colorscale='YlGnBu',\r\n                color=[G.degree(n) for n in G.nodes()],\r\n                size=node_size,\r\n                colorbar=dict(\r\n                    title='Stopień węzła',\r\n                    thickness=15,\r\n                    xanchor='left'  \r\n                ),\r\n                line_width=2\r\n            )\r\n        )\r\n        \r\n        fig = go.Figure(data=[edge_trace, node_trace],\r\n                        layout=go.Layout(\r\n                            title='Sieć przejść między procesami',\r\n                            title_x=0.5,\r\n                            showlegend=False,\r\n                            hovermode='closest',\r\n                            margin=dict(b=0, l=0, r=0, t=40),\r\n                            template='plotly_dark'\r\n                        ))\r\n        \r\n        if output_html:\r\n            fig.write_html(output_html)\r\n            print(f""Wykres sieci zapisano do pliku: {output_html}"")\r\n        return fig\r\n",proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 18:57:15,node_size.append(20 * (1 + degree/max_degree)),proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 18:57:33,max_degree = max(dict(G.degree()).values()),● proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:03:06,"    fig = analyzer.plot_process_network(""plotly/siec_titles.html"", 'title')",proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:03:21,"    fig = analyzer.plot_time_spent(""plotly/czas_procesy.html"")\r\n",● proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:06:52,'Sieć przejść między procesami' if column == 'process' else 'Sieć przejść między podprocesami',● proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:08:55,'process',● proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:09:44,"    fig = analyzer.plot_time_spent(""plotly/czas_title.html"", 'title')\r\n",● proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:11:03,"import pandas as pd\r\nimport plotly.express as px\r\nimport plotly.graph_objects as go\r\nfrom datetime import timedelta\r\nimport networkx as nx\r\n\r\nclass ProcessAnalyzer:\r\n    def __init__(self, csv_path: str):\r\n        """"""Inicjalizacja: wczytanie danych z CSV.""""""\r\n        self.data = pd.read_csv(csv_path)\r\n        self.data['timestamp'] = pd.to_datetime(self.data['timestamp'])\r\n        self.data.sort_values(by='timestamp', inplace=True)\r\n    \r\n    def calculate_time_spent(self, column: str = 'process') -> pd.DataFrame:\r\n        """"""Liczy czas spędzony w każdym procesie na podstawie różnicy czasów.""""""\r\n        df = self.data.copy()\r\n        df['next_timestamp'] = df['timestamp'].shift(-1)\r\n        df['duration'] = (df['next_timestamp'] - df['timestamp']).fillna(pd.Timedelta(seconds=0))\r\n        \r\n        # Grupowanie po procesach\r\n        time_spent = df.groupby(column)['duration'].sum().reset_index()\r\n        time_spent['minutes'] = time_spent['duration'].dt.total_seconds() / 60\r\n        \r\n        self.time_spent = time_spent\r\n        return time_spent\r\n    \r\n    def plot_time_spent(self, output_html: str = None):\r\n        """"""Tworzy interaktywny wykres Plotly i opcjonalnie zapisuje jako HTML.""""""\r\n        if not hasattr(self, 'time_spent'):\r\n            self.calculate_time_spent()\r\n        \r\n        fig = px.bar(\r\n            self.time_spent,\r\n            x='process',\r\n            y='minutes',\r\n            color='process',\r\n            title='Czas spędzony w poszczególnych procesach (minuty)',\r\n            text_auto='.2f'\r\n        )\r\n        fig.update_layout(\r\n            xaxis_title='Proces',\r\n            yaxis_title='Czas [minuty]',\r\n            showlegend=False,\r\n            template='plotly_dark',\r\n            hovermode='x unified'\r\n        )\r\n        \r\n        if output_html:\r\n            fig.write_html(output_html)\r\n            print(f""Wykres zapisano do pliku: {output_html}"")\r\n        return fig\r\n    \r\n    def plot_process_network(self, output_html: str = None, column: str = 'process'):\r\n        """"""Tworzy interaktywny wykres sieci przejść między procesami.""""""\r\n        df = self.data.copy()\r\n        df['next_process'] = df[column].shift(-1)\r\n        \r\n        # usuwamy powtarzające się procesy z rzędu (brak ""przejścia"")\r\n        df = df[df[column] != df['next_process']]\r\n        \r\n        # liczba przejść między procesami\r\n        transitions = df.groupby([column, 'next_process']).size().reset_index(name='count')\r\n        \r\n        # budowa grafu NetworkX\r\n        G = nx.DiGraph()\r\n        for _, row in transitions.iterrows():\r\n            G.add_edge(row[column], row['next_process'], weight=row['count'])\r\n        \r\n        pos = nx.spring_layout(G, seed=42)  # rozmieszczenie węzłów\r\n        \r\n        # przygotowanie danych do Plotly\r\n        edge_x, edge_y = [], []\r\n        for edge in G.edges():\r\n            x0, y0 = pos[edge[0]]\r\n            x1, y1 = pos[edge[1]]\r\n            edge_x.extend([x0, x1, None])\r\n            edge_y.extend([y0, y1, None])\r\n        \r\n        edge_trace = go.Scatter(\r\n            x=edge_x, y=edge_y,\r\n            line=dict(width=1, color='#888'),\r\n            hoverinfo='none',\r\n            mode='lines'\r\n        )\r\n        \r\n        node_x, node_y, node_text, node_size = [], [], [], []\r\n        max_degree = max(dict(G.degree()).values())\r\n        for node in G.nodes():\r\n            x, y = pos[node]\r\n            node_x.append(x)\r\n            node_y.append(y)\r\n            node_text.append(node)\r\n            degree = G.degree(node)\r\n            node_size.append(20 * (1 + degree/max_degree))\r\n        \r\n        node_trace = go.Scatter(\r\n            x=node_x, y=node_y,\r\n            mode='markers+text',\r\n            text=node_text,\r\n            textposition='top center',\r\n            hoverinfo='text',\r\n            marker=dict(\r\n                showscale=True,\r\n                colorscale='YlGnBu',\r\n                color=[G.degree(n) for n in G.nodes()],\r\n                size=node_size,\r\n                colorbar=dict(\r\n                    title='Stopień węzła',\r\n                    thickness=15,\r\n                    xanchor='left'  \r\n                ),\r\n                line_width=2\r\n            )\r\n        )\r\n        \r\n        fig = go.Figure(data=[edge_trace, node_trace],\r\n                        layout=go.Layout(\r\n                            title='Sieć przejść między procesami' if column == 'process' else 'Sieć przejść między podprocesami',\r\n                            title_x=0.5,\r\n                            showlegend=False,\r\n                            hovermode='closest',\r\n                            margin=dict(b=0, l=0, r=0, t=40),\r\n                            template='plotly_dark'\r\n                        ))\r\n        \r\n        if output_html:\r\n            fig.write_html(output_html)\r\n            print(f""Wykres sieci zapisano do pliku: {output_html}"")\r\n        return fig\r\n\r\n\r\nif __name__ == ""__main__"":\r\n    analyzer = ProcessAnalyzer(""data/corporate_workflow_data.csv"")\r\n    print(analyzer.calculate_time_spent())\r\n\r\n    fig = analyzer.plot_time_spent(""plotly/czas_procesy.html"")\r\n    fig = analyzer.plot_process_network(""plotly/siec_titles.html"", 'title')\r\n    fig = analyzer.plot_process_network(""plotly/siec_process.html"")\r\n",proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:16:35,"sizemode='diameter',  # tryb skalowania\r\n                sizeref=2 * max(node_size) / (40 ** 2),  # automatyczne skalowanie\r\n                sizemin=6,  # minimalny rozmiar węzła",proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:16:53,autosize=True ,● proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:18:54,"                sizeref=2 * max(node_size) / (40 ** 2),  # automatyczne skalowanie\r\n",● proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:23:40,G.degree(node),proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:24:11,[G.degree(n) for n in G.nodes()],proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:24:54,degree,proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:26:21,degrees,proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:26:40,            node_size.append(20 * (1 + degree/max_degree))\r\n,● proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:26:41,node_size,● proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:29:40,"<!DOCTYPE html>\r\n<html lang=""en"">\r\n<head>\r\n    <meta charset=""UTF-8"">\r\n    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">\r\n    <title>ProcessBot Analytics</title>\r\n    <script src=""https://cdnjs.cloudflare.com/ajax/libs/plotly.js/2.26.0/plotly.min.js""></script>\r\n    <style>",JSON data file management - Claude – Opera,opera.exe,18264
2025-10-04 19:45:51,"* { margin: 0; padding: 0; box-sizing: border-box; }\r\n        body {\r\n            font-family: 'Segoe UI', Tahoma, Geneva, Verdana, sans-serif;\r\n            background: linear-gradient(135deg, #667eea 0%, #764ba2 100%);\r\n            min-height: 100vh; padding: 20px;\r\n        }\r\n        .container { max-width: 1400px; margin: 0 auto; }\r\n        .header { text-align: center; color: white; margin-bottom: 40px; }\r\n        .header h1 { font-size: 3em; margin-bottom: 10px; text-shadow: 2px 2px 4px rgba(0,0,0,0.3); }\r\n        .header p { font-size: 1.2em; opacity: 0.9; }\r\n        .stats-grid {\r\n            display: grid;\r\n            grid-template-columns: repeat(auto-fit, minmax(250px, 1fr));\r\n            gap: 20px;\r\n            margin-bottom: 30px;\r\n        }\r\n        .stat-card {\r\n            background: white;\r\n            border-radius: 15px;\r\n            padding: 25px;\r\n            box-shadow: 0 10px 30px rgba(0,0,0,0.2);\r\n            transition: transform 0.3s ease;\r\n        }\r\n        .stat-card:hover { transform: translateY(-5px); }\r\n        .stat-label { font-size: 0.9em; color: #666; text-transform: uppercase; letter-spacing: 1px; margin-bottom: 10px; }\r\n        .stat-value { font-size: 2.5em; font-weight: bold; color: #667eea; }\r\n        .chart-container {\r\n            background: white;\r\n            border-radius: 15px;\r\n            padding: 30px;\r\n            box-shadow: 0 10px 30px rgba(0,0,0,0.2);\r\n            margin-bottom: 30px;\r\n        }\r\n        .chart-title { font-size: 1.8em; color: #333; margin-bottom: 20px; text-align: center; }\r\n        #sankey-chart { width: 100%; height: 600px; overflow: visible; }\r\n        #heatmaps-container img { max-width: 100%; border-radius: 10px; margin-bottom: 10px; }\r\n        .loading { text-align: center; padding: 40px; color: #666; font-size: 1.2em; }\r\n        .node rect { fill-opacity: 0.9; stroke: #000; stroke-width: 1px; }\r\n        .node text { font-size: 12px; fill: #333; font-weight: 500; }\r\n        .link { fill: none; stroke-opacity: 0.3; }\r\n        .link:hover { stroke-opacity: 0.6; }\r\n        .tooltip {\r\n            position: absolute;\r\n            background: rgba(0, 0, 0, 0.8);\r\n            color: white;\r\n            padding: 10px 15px;\r\n            border-radius: 8px;\r\n            font-size: 14px;\r\n            pointer-events: none;\r\n            opacity: 0;\r\n            transition: opacity 0.3s;\r\n            z-index: 1000;\r\n        }",APP.PY - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:47:18,"* { margin: 0; padding: 0; box-sizing: border-box; }\r\n        body {\r\n            font-family: 'Segoe UI', Tahoma, Geneva, Verdana, sans-serif;\r\n            background: linear-gradient(135deg, #667eea 0%, #764ba2 100%);\r\n            min-height: 100vh; padding: 20px;\r\n        }\r\n        .container { max-width: 1400px; margin: 0 auto; }\r\n        .header { text-align: center; color: white; margin-bottom: 40px; }\r\n        .header h1 { font-size: 3em; margin-bottom: 10px; text-shadow: 2px 2px 4px rgba(0,0,0,0.3); }\r\n        .header p { font-size: 1.2em; opacity: 0.9; }\r\n        .stats-grid {\r\n            display: grid;\r\n            grid-template-columns: repeat(auto-fit, minmax(250px, 1fr));\r\n            gap: 20px;\r\n            margin-bottom: 30px;\r\n        }\r\n        .stat-card {\r\n            background: white;\r\n            border-radius: 15px;\r\n            padding: 25px;\r\n            box-shadow: 0 10px 30px rgba(0,0,0,0.2);\r\n            transition: transform 0.3s ease;\r\n        }\r\n        .stat-card:hover { transform: translateY(-5px); }\r\n        .stat-label { font-size: 0.9em; color: #666; text-transform: uppercase; letter-spacing: 1px; margin-bottom: 10px; }\r\n        .stat-value { font-size: 2.5em; font-weight: bold; color: #667eea; }\r\n        .chart-container {\r\n            background: white;\r\n            border-radius: 15px;\r\n            padding: 30px;\r\n            box-shadow: 0 10px 30px rgba(0,0,0,0.2);\r\n            margin-bottom: 30px;\r\n        }\r\n        .chart-title { font-size: 1.8em; color: #333; margin-bottom: 20px; text-align: center; }\r\n        #sankey-chart { width: 100%; height: 600px; overflow: visible; }\r\n        #heatmaps-container img { max-width: 100%; border-radius: 10px; margin-bottom: 10px; }\r\n        .loading { text-align: center; padding: 40px; color: #666; font-size: 1.2em; }\r\n        .node rect { fill-opacity: 0.9; stroke: #000; stroke-width: 1px; }\r\n        .node text { font-size: 12px; fill: #333; font-weight: 500; }\r\n        .link { fill: none; stroke-opacity: 0.3; }\r\n        .link:hover { stroke-opacity: 0.6; }\r\n        .tooltip {\r\n            position: absolute;\r\n            background: rgba(0, 0, 0, 0.8);\r\n            color: white;\r\n            padding: 10px 15px;\r\n            border-radius: 8px;\r\n            font-size: 14px;\r\n            pointer-events: none;\r\n            opacity: 0;\r\n            transition: opacity 0.3s;\r\n            z-index: 1000;\r\n        }",APP.PY - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 19:50:04,"* { margin: 0; padding: 0; box-sizing: border-box; }\r\n        body {\r\n            font-family: 'Segoe UI', Tahoma, Geneva, Verdana, sans-serif;\r\n            background: linear-gradient(135deg, #667eea 0%, #764ba2 100%);\r\n            min-height: 100vh; padding: 20px;\r\n        }\r\n        .container { max-width: 1400px; margin: 0 auto; }\r\n        .header { text-align: center; color: white; margin-bottom: 40px; }\r\n        .header h1 { font-size: 3em; margin-bottom: 10px; text-shadow: 2px 2px 4px rgba(0,0,0,0.3); }\r\n        .header p { font-size: 1.2em; opacity: 0.9; }\r\n        .stats-grid {\r\n            display: grid;\r\n            grid-template-columns: repeat(auto-fit, minmax(250px, 1fr));\r\n            gap: 20px;\r\n            margin-bottom: 30px;\r\n        }\r\n        .stat-card {\r\n            background: white;\r\n            border-radius: 15px;\r\n            padding: 25px;\r\n            box-shadow: 0 10px 30px rgba(0,0,0,0.2);\r\n            transition: transform 0.3s ease;\r\n        }\r\n        .stat-card:hover { transform: translateY(-5px); }\r\n        .stat-label { font-size: 0.9em; color: #666; text-transform: uppercase; letter-spacing: 1px; margin-bottom: 10px; }\r\n        .stat-value { font-size: 2.5em; font-weight: bold; color: #667eea; }\r\n        .chart-container {\r\n            background: white;\r\n            border-radius: 15px;\r\n            padding: 30px;\r\n            box-shadow: 0 10px 30px rgba(0,0,0,0.2);\r\n            margin-bottom: 30px;\r\n        }\r\n        .chart-title { font-size: 1.8em; color: #333; margin-bottom: 20px; text-align: center; }\r\n        #sankey-chart { width: 100%; height: 600px; overflow: visible; }\r\n        #heatmaps-container img { max-width: 100%; border-radius: 10px; margin-bottom: 10px; }\r\n        .loading { text-align: center; padding: 40px; color: #666; font-size: 1.2em; }\r\n        .node rect { fill-opacity: 0.9; stroke: #000; stroke-width: 1px; }\r\n        .node text { font-size: 12px; fill: #333; font-weight: 500; }\r\n        .link { fill: none; stroke-opacity: 0.3; }\r\n        .link:hover { stroke-opacity: 0.6; }\r\n        .tooltip {\r\n            position: absolute;\r\n            background: rgba(0, 0, 0, 0.8);\r\n            color: white;\r\n            padding: 10px 15px;\r\n            border-radius: 8px;\r\n            font-size: 14px;\r\n            pointer-events: none;\r\n            opacity: 0;\r\n            transition: opacity 0.3s;\r\n            z-index: 1000;\r\n        }",APP.PY - Hackaton - Visual Studio Code,Code.exe,18256
